0.0 * C_node4node40_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1663.0 * C_node5node15_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1400.2 * C_node5node15_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
992.63 * C_node5node15_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
703.69 * C_node5node15_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
498.86 * C_node5node15_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
353.65 * C_node5node15_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2493.0 * C_node5node15_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
2099.04 * C_node5node15_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1488.05 * C_node5node15_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1054.91 * C_node5node15_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
747.84 * C_node5node15_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
530.16 * C_node5node15_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1855.0 * C_node5node22_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1561.86 * C_node5node22_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1107.23 * C_node5node22_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
784.94 * C_node5node22_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
556.46 * C_node5node22_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
394.48 * C_node5node22_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2784.0 * C_node5node22_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
2344.05 * C_node5node22_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1661.74 * C_node5node22_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1178.04 * C_node5node22_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
835.14 * C_node5node22_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
592.04 * C_node5node22_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node5node36_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node5node36_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node5node36_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node5node36_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node5node36_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node5node36_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node5node36_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node5node36_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node5node36_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node5node36_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node5node36_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node5node36_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1003.0 * C_node6node14_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
844.5 * C_node6node14_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
598.68 * C_node6node14_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
424.42 * C_node6node14_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
300.88 * C_node6node14_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
213.3 * C_node6node14_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1503.0 * C_node6node14_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1265.49 * C_node6node14_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
897.13 * C_node6node14_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
635.99 * C_node6node14_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
450.87 * C_node6node14_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
319.63 * C_node6node14_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
2860.0 * C_node6node7_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
2408.04 * C_node6node7_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1707.11 * C_node6node7_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1210.2 * C_node6node7_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
