variable,coefficient,type,prefix,width,edge,period
C_node9node74_timber_t3,0.0,B,C,timber,,3
C_node9node74_timber_t4,0.0,B,C,timber,,4
C_node9node74_timber_t5,0.0,B,C,timber,,5
C_node9node74_wide_t0,0.0,B,C,wide,,0
C_node9node74_wide_t1,0.0,B,C,wide,,1
C_node9node74_wide_t2,0.0,B,C,wide,,2
C_node9node74_wide_t3,0.0,B,C,wide,,3
C_node9node74_wide_t4,0.0,B,C,wide,,4
C_node9node74_wide_t5,0.0,B,C,wide,,5
C_node9node75_timber_t0,0.0,B,C,timber,,0
C_node9node75_timber_t1,0.0,B,C,timber,,1
C_node9node75_timber_t2,0.0,B,C,timber,,2
C_node9node75_timber_t3,0.0,B,C,timber,,3
C_node9node75_timber_t4,0.0,B,C,timber,,4
C_node9node75_timber_t5,0.0,B,C,timber,,5
C_node9node75_wide_t0,0.0,B,C,wide,,0
C_node9node75_wide_t1,0.0,B,C,wide,,1
C_node9node75_wide_t2,0.0,B,C,wide,,2
C_node9node75_wide_t3,0.0,B,C,wide,,3
C_node9node75_wide_t4,0.0,B,C,wide,,4
C_node9node75_wide_t5,0.0,B,C,wide,,5
C_node10node14_timber_t0,686.0,B,C,timber,,0
C_node10node14_timber_t1,577.59,B,C,timber,,1
C_node10node14_timber_t2,409.47,B,C,timber,,2
C_node10node14_timber_t3,290.28,B,C,timber,,3
C_node10node14_timber_t4,205.78,B,C,timber,,4
