C_wide_node5node52_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node52_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node52_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node111_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node5node111_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node111_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node111_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node111_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node111_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node111_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node5node111_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node111_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node111_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node111_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node111_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node112_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node5node112_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node112_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node112_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node112_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node112_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node112_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node5node112_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node112_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node112_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node112_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node112_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node55_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node6node55_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node55_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node55_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node55_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node55_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node55_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node6node55_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node55_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node55_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node55_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node55_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node19_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node6node19_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node19_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node19_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node19_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node19_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node19_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node6node19_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node19_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node19_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node19_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node19_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node57_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node6node57_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node57_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node57_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node57_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node57_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node57_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node6node57_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node57_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node57_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node57_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node57_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node105_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node6node105_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node105_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node105_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node105_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node105_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node105_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node6node105_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node105_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node105_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node105_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node105_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node106_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node6node106_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node106_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node106_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node106_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node106_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node106_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node6node106_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node106_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node106_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node106_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node106_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node51_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node7node51_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node51_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node51_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node51_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node51_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node7node51_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node7node51_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node7node51_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node7node51_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node7node51_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node7node51_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node78_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node7node78_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node78_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node78_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node78_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node7node78_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node7node78_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node7node78_t1: lb=0.0, ub=1.0, type=B, cost=N/A
