"Source(x,y)","Target(x,y)"
"(-13157.07228, 150118.38961)","(-13227.07898, 150146.22091)"
"(-13157.07228, 150118.38961)","(-12880.92928, 150025.69071)"
"(-13157.07228, 150118.38961)","(-13032.42201, 149899.99789)"
"(-13157.07228, 150118.38961)","(-13301.84237, 149934.63369)"
"(-13032.42201, 149899.99789)","(-13242.88528, 149724.48541)"
"(-13032.42201, 149899.99789)","(-13198.59018, 149677.26611)"
"(-13032.42201, 149899.99789)","(-12815.40568, 149829.76891)"
"(-13032.42201, 149899.99789)","(-13157.07228, 150118.38961)"
"(-13032.42201, 149899.99789)","(-12880.92928, 150025.69071)"
"(-13301.84237, 149934.63369)","(-13242.88528, 149724.48541)"
"(-13301.84237, 149934.63369)","(-13268.95768, 150156.41771)"
"(-13301.84237, 149934.63369)","(-13157.07228, 150118.38961)"
"(-13301.84237, 149934.63369)","(-13227.07898, 150146.22091)"
"(-13301.84237, 149934.63369)","(-13398.16458, 149824.60111)"
"(-12178.68768, 147494.02351)","(-12457.51948, 147320.30191)"
"(-12178.68768, 147494.02351)","(-12605.97578, 147390.85921)"
"(-12178.68768, 147494.02351)","(-12280.57218, 147253.92281)"
"(-12178.68768, 147494.02351)","(-12445.81777, 147294.8568)"
"(-12178.68768, 147494.02351)","(-12299.64687, 147391.65277)"
"(-12457.51948, 147320.30191)","(-12178.68768, 147494.02351)"
"(-12457.51948, 147320.30191)","(-12314.97658, 147203.97811)"
"(-12457.51948, 147320.30191)","(-12340.79808, 147255.51221)"
"(-12457.51948, 147320.30191)","(-12445.81777, 147294.8568)"
"(-12457.51948, 147320.30191)","(-12299.64687, 147391.65277)"
"(-12280.57218, 147253.92281)","(-12178.68768, 147494.02351)"
"(-12280.57218, 147253.92281)","(-12340.79808, 147255.51221)"
"(-12280.57218, 147253.92281)","(-12253.57308, 147164.96431)"
"(-12280.57218, 147253.92281)","(-12445.81777, 147294.8568)"
"(-12280.57218, 147253.92281)","(-12299.64687, 147391.65277)"
"(-12299.64687, 147391.65277)","(-12178.68768, 147494.02351)"
"(-12299.64687, 147391.65277)","(-12457.51948, 147320.30191)"
"(-12299.64687, 147391.65277)","(-12280.57218, 147253.92281)"
"(-12299.64687, 147391.65277)","(-12340.79808, 147255.51221)"
"(-13322.81538, 150391.65261)","(-13265.02588, 150442.04271)"
"(-13322.81538, 150391.65261)","(-13373.07518, 150349.56471)"
"(-13322.81538, 150391.65261)","(-13268.95768, 150156.41771)"
"(-13322.81538, 150391.65261)","(-13561.87851, 149978.584)"
"(-13265.02588, 150442.04271)","(-13322.81538, 150391.65261)"
"(-13265.02588, 150442.04271)","(-12989.03628, 150813.47421)"
"(-13265.02588, 150442.04271)","(-13227.07898, 150146.22091)"
"(-13373.07518, 150349.56471)","(-13322.81538, 150391.65261)"
"(-13373.07518, 150349.56471)","(-13515.87128, 150205.52941)"
"(-13373.07518, 150349.56471)","(-13498.77538, 150497.94221)"
"(-13373.07518, 150349.56471)","(-13561.87851, 149978.584)"
"(-13268.95768, 150156.41771)","(-13322.81538, 150391.65261)"
"(-13268.95768, 150156.41771)","(-13227.07898, 150146.22091)"
"(-13268.95768, 150156.41771)","(-13398.16458, 149824.60111)"
"(-13268.95768, 150156.41771)","(-13301.84237, 149934.63369)"
"(-13268.95768, 150156.41771)","(-13561.87851, 149978.584)"
"(-13561.87851, 149978.584)","(-13322.81538, 150391.65261)"
"(-13561.87851, 149978.584)","(-13732.31928, 150109.64081)"
"(-13561.87851, 149978.584)","(-13268.95768, 150156.41771)"
"(-13561.87851, 149978.584)","(-13513.26518, 149711.07671)"
"(-13561.87851, 149978.584)","(-13882.07368, 149997.78241)"
"(-13561.87851, 149978.584)","(-13373.07518, 150349.56471)"
"(-13561.87851, 149978.584)","(-13515.87128, 150205.52941)"
"(-13561.87851, 149978.584)","(-13398.16458, 149824.60111)"
"(-11771.13658, 150069.97271)","(-12193.48708, 149840.19281)"
