"Source(x,y)","Target(x,y)"
"(-11193.97548, 146304.22381)","(-11199.2228, 146286.69589)"
"(-11193.97548, 146304.22381)","(-11147.67338, 146279.08841)"
"(-11193.97548, 146304.22381)","(-11260.41238, 146311.88539)"
"(-11193.97548, 146304.22381)","(-11228.32011, 146134.99003)"
"(-11193.97548, 146304.22381)","(-11535.17588, 146511.60567)"
"(-12132.32018, 145815.81351)","(-12460.81378, 146096.66401)"
"(-12132.32018, 145815.81351)","(-11418.6453, 145807.50002)"
"(-12132.32018, 145815.81351)","(-12388.25839, 145781.0902)"
"(-12132.32018, 145815.81351)","(-12186.63902, 146003.58075)"
"(-12460.81378, 146096.66401)","(-12470.54088, 146156.54001)"
"(-12460.81378, 146096.66401)","(-12487.36392, 146087.27366)"
"(-12460.81378, 146096.66401)","(-12188.21993, 146109.72315)"
"(-12460.81378, 146096.66401)","(-12650.0027, 145987.77659)"
"(-12460.81378, 146096.66401)","(-12388.25839, 145781.0902)"
"(-12460.81378, 146096.66401)","(-12186.63902, 146003.58075)"
"(-12460.81378, 146096.66401)","(-12419.48714, 146353.17934)"
"(-10540.80828, 145570.98241)","(-10441.67454, 145539.26826)"
"(-10540.80828, 145570.98241)","(-10392.90648, 145719.00931)"
"(-10540.80828, 145570.98241)","(-10717.38045, 145541.53695)"
"(-10540.80828, 145570.98241)","(-10875.67833, 145439.00808)"
"(-10540.80828, 145570.98241)","(-10279.87739, 145598.76698)"
"(-9939.95048, 145616.20771)","(-9921.70364, 145669.30352)"
"(-9939.95048, 145616.20771)","(-9548.31546, 145415.4506)"
"(-9939.95048, 145616.20771)","(-9589.40351, 145679.25373)"
"(-11631.18218, 147630.20151)","(-11915.1548, 147459.44344)"
"(-11631.18218, 147630.20151)","(-11514.13248, 147464.64091)"
"(-11631.18218, 147630.20151)","(-11897.64531, 147344.57458)"
"(-11631.18218, 147630.20151)","(-11364.13313, 147519.988)"
"(-11734.65228, 145366.77121)","(-11479.27611, 145482.62956)"
"(-11734.65228, 145366.77121)","(-11842.71668, 145304.14611)"
"(-11734.65228, 145366.77121)","(-11757.61972, 145460.1864)"
"(-11734.65228, 145366.77121)","(-12067.13219, 145394.48957)"
"(-11734.65228, 145366.77121)","(-11692.20506, 145637.19507)"
"(-11657.10278, 146836.53971)","(-12020.80848, 146775.19261)"
"(-11657.10278, 146836.53971)","(-11598.27358, 146889.62002)"
"(-11657.10278, 146836.53971)","(-11535.17588, 146511.60567)"
"(-11657.10278, 146836.53971)","(-11262.68254, 146782.69804)"
"(-10804.38598, 146592.14491)","(-11076.1594, 146951.55747)"
"(-10804.38598, 146592.14491)","(-10585.40251, 146441.79314)"
"(-10804.38598, 146592.14491)","(-11262.68254, 146782.69804)"
"(-12128.28838, 146605.30541)","(-12020.85555, 146530.62782)"
"(-12128.28838, 146605.30541)","(-11535.17588, 146511.60567)"
"(-11660.15818, 145199.22361)","(-11842.71668, 145304.14611)"
"(-11660.15818, 145199.22361)","(-11474.53728, 145036.98431)"
"(-11660.15818, 145199.22361)","(-11527.59886, 144721.10856)"
"(-11660.15818, 145199.22361)","(-11935.33564, 145084.54367)"
"(-10356.64758, 144859.65951)","(-10346.78668, 144660.43371)"
"(-10356.64758, 144859.65951)","(-10096.21758, 144857.05771)"
"(-10356.64758, 144859.65951)","(-10038.91817, 144696.09826)"
"(-10356.64758, 144859.65951)","(-10691.85714, 144728.22114)"
"(-10356.64758, 144859.65951)","(-10092.28536, 144992.41853)"
"(-11019.35018, 146283.05711)","(-11034.00928, 146314.14501)"
"(-11019.35018, 146283.05711)","(-11053.83413, 146220.76902)"
"(-11019.35018, 146283.05711)","(-11535.17588, 146511.60567)"
"(-12020.80848, 146775.19261)","(-11829.82084, 146875.34896)"
"(-12020.80848, 146775.19261)","(-11535.17588, 146511.60567)"
"(-12020.80848, 146775.19261)","(-11832.54596, 147082.78683)"
"(-12162.38518, 147088.50391)","(-12465.81377, 147031.14202)"
"(-12162.38518, 147088.50391)","(-11897.64531, 147344.57458)"
"(-11345.52318, 145931.44721)","(-11498.47148, 146267.03401)"
"(-11345.52318, 145931.44721)","(-11418.6453, 145807.50002)"
"(-11345.52318, 145931.44721)","(-11689.91373, 146061.82348)"
"(-11652.93558, 144066.29101)","(-12377.49558, 143982.26871)"
"(-11652.93558, 144066.29101)","(-11567.18588, 144257.36441)"
"(-11652.93558, 144066.29101)","(-11880.59009, 144169.38769)"
"(-11652.93558, 144066.29101)","(-11262.38902, 144249.96448)"
"(-9890.19048, 145757.38021)","(-9668.512, 145677.10047)"
"(-9890.19048, 145757.38021)","(-9921.70364, 145669.30352)"
"(-9890.19048, 145757.38021)","(-9589.40351, 145679.25373)"
"(-12470.54088, 146156.54001)","(-12492.603, 146154.41865)"
