Node,Stand
"(-11629.99018, 144170.65121)",[1149]
"(-11595.31278, 144206.94801)",[1149]
"(-11567.18588, 144257.36441)",[1149]
"(-11542.61278, 144220.57091)",[1149]
"(-11493.23308, 144212.80351)",[1149]
"(-11448.43058, 144217.77841)",[1149]
"(-11372.82138, 144227.12571)",[1149]
"(-11300.85198, 144271.64651)",[1149]
"(-11345.44256, 144244.06245)",[1149]
"(-9201.94668, 144923.84471)",[1151]
"(-9274.70728, 144794.19861)",[1151]
"(-9355.40538, 144806.10491)",[1151]
"(-9410.96798, 144804.78191)",[1151]
"(-9467.41438, 144774.25241)","[1152, 1151]"
"(-9518.22688, 144804.50641)","[1152, 1151]"
"(-9566.82548, 144787.71731)","[1152, 1151]"
"(-9622.24278, 144779.63331)","[1152, 1151]"
"(-9686.91908, 144778.42451)","[1152, 1213, 1151]"
"(-9748.39548, 144793.26691)","[1213, 1151]"
"(-9802.77988, 144787.31471)","[1213, 1151]"
"(-9880.46108, 144774.45331)","[1213, 1151]"
"(-9959.22428, 144786.33511)","[1213, 1151]"
"(-10005.03008, 144784.12341)","[1213, 1151]"
"(-10071.80798, 144794.19481)","[1213, 1151]"
"(-10096.21758, 144857.05771)","[1292, 1213, 1151]"
"(-10038.80028, 144846.57621)","[1292, 1151]"
"(-10024.30708, 144904.45791)","[1292, 1151]"
"(-9971.72598, 144924.51451)","[1292, 1151]"
"(-9913.96398, 144959.80931)","[1292, 1151]"
"(-9855.82498, 144997.09981)","[1292, 1151]"
"(-9832.74258, 145029.71041)","[1292, 1151]"
"(-9819.20558, 145048.83541)",[1151]
"(-9814.20778, 145055.89631)",[1151]
"(-9811.22658, 145060.26931)",[1151]
"(-9795.79188, 145082.91021)",[1151]
"(-9783.33098, 145101.18911)",[1151]
"(-9764.45208, 145129.58501)",[1151]
"(-9743.75138, 145154.97921)",[1151]
"(-9723.62508, 145179.66881)",[1151]
"(-9713.27188, 145192.36951)",[1151]
"(-9706.21588, 145201.02551)",[1151]
"(-9650.54868, 145175.94021)",[1151]
"(-9628.32368, 145153.71511)",[1151]
"(-9611.53838, 145142.99111)",[1151]
"(-9595.17898, 145132.53931)",[1151]
"(-9587.05988, 145127.35221)",[1151]
"(-9571.17348, 145117.20251)",[1151]
"(-9550.53598, 145104.50251)",[1151]
"(-9551.68168, 145083.28031)",[1151]
"(-9529.37088, 145079.47511)",[1151]
"(-9512.11058, 145018.68791)",[1151]
"(-9464.09268, 145005.97421)",[1151]
"(-9414.95488, 145003.39221)",[1151]
"(-9376.72258, 144958.59151)",[1151]
"(-9324.68418, 144973.53711)",[1151]
"(-9241.01268, 144955.70501)",[1151]
"(-9235.01978, 144921.19881)",[1151]
"(-9339.80264, 144803.80286)",[1151]
"(-9249.17365, 144957.44428)",[1151]
"(-9419.23008, 144744.06521)",[1152]
"(-9359.11808, 144722.23791)",[1152]
"(-9305.40998, 144657.12641)","[1152, 1497]"
"(-9328.57358, 144617.03861)","[1152, 1497]"
"(-9376.30458, 144586.68421)","[1152, 1497]"
"(-9431.16778, 144572.78171)","[1152, 1497]"
"(-9488.08368, 144561.13381)","[1152, 1497]"
"(-9535.64218, 144605.93501)","[1152, 1497]"
"(-9601.83768, 144622.34301)","[1152, 1497]"
"(-9647.45198, 144634.27871)","[1152, 1497]"
"(-9674.56938, 144595.59931)","[1152, 1497, 1213]"
"(-9693.64228, 144656.22931)","[1152, 1213]"
"(-9657.03098, 144682.07371)","[1152, 1213]"
"(-9715.41538, 144724.88791)","[1152, 1213]"
"(-9317.16199, 144671.37362)",[1152]
"(-9309.73602, 144649.63961)",[1152]
"(-9533.50398, 144269.03741)","[1153, 1497]"
"(-9533.31088, 144224.64401)","[1153, 1497]"
"(-9651.78088, 144199.77851)","[1153, 1497]"
"(-9745.57528, 144200.95761)",[1153]
"(-9801.27638, 144211.93271)",[1153]
"(-9916.51628, 144258.29521)",[1153]
"(-9961.88808, 144272.69131)",[1153]
"(-11285.94848, 145413.02391)","[1258, 867]"
"(-11340.88868, 145368.59671)","[1258, 867]"
"(-11314.48788, 145345.86911)","[1258, 867]"
"(-11263.25238, 145350.99561)","[1258, 867, 1494]"
"(-11009.14508, 145140.90221)","[867, 868]"
"(-11037.01668, 145024.30811)","[867, 868]"
"(-11080.24958, 144959.05511)","[867, 868]"
"(-11138.01148, 144944.93741)","[867, 868]"
"(-11180.08208, 144918.93121)","[867, 868]"
"(-11226.73778, 144921.86351)","[867, 868]"
"(-11301.37178, 144893.17581)","[867, 868]"
"(-11419.88338, 144977.40061)",[867]
"(-11415.48698, 145046.44911)",[867]
"(-11420.90838, 145084.72971)",[867]
"(-11440.16518, 145115.81351)",[867]
"(-11438.13268, 145184.98521)",[867]
"(-11474.56108, 145224.29291)",[867]
"(-11493.08208, 145278.53261)",[867]
"(-11470.59238, 145331.44931)",[867]
"(-11425.61318, 145377.75151)",[867]
"(-11370.05048, 145405.53271)",[867]
"(-11312.90978, 145420.83641)",[867]
"(-10572.27948, 145306.64461)","[1259, 868, 1494]"
"(-10569.10448, 145270.13201)","[1259, 868]"
"(-10608.79198, 145179.64431)","[1259, 868]"
"(-10643.00188, 145112.35371)","[1259, 868, 869]"
