Node,Stand
"(-15107.25398, 150147.15551)",[1236]
"(-15100.50988, 150149.05321)",[1236]
"(-15087.76428, 150152.63981)",[1236]
"(-15073.20468, 150156.73681)",[1236]
"(-15060.59528, 150160.28511)",[1236]
"(-15057.07638, 150161.27541)",[1236]
"(-15052.16208, 150165.11601)",[1236]
"(-15039.38108, 150175.10501)",[1236]
"(-15023.77828, 150187.29921)",[1236]
"(-15020.02788, 150190.23031)",[1236]
"(-15019.63258, 150190.53921)",[1236]
"(-15019.63168, 150190.51721)",[1236]
"(-15016.41728, 150123.94211)",[1236]
"(-15080.09818, 150084.27321)",[1236]
"(-15082.78238, 150019.21581)",[1236]
"(-15113.11618, 149970.23351)",[1236]
"(-15113.10358, 149970.21241)",[1236]
"(-15113.11348, 149970.19631)",[1236]
"(-15065.39738, 149890.46581)",[1236]
"(-15068.22688, 149890.74231)",[1236]
"(-15081.07128, 149891.99791)",[1236]
"(-15092.13808, 149893.07971)",[1236]
"(-15097.13708, 149893.56831)",[1236]
"(-15103.95238, 149895.30561)",[1236]
"(-15117.61648, 149898.78841)",[1236]
"(-15123.44238, 149900.27351)",[1236]
"(-15133.64258, 149902.87361)",[1236]
"(-15144.92088, 149905.74841)",[1236]
"(-15158.05548, 149909.09641)",[1236]
"(-15165.89108, 149911.09371)",[1236]
"(-15179.19078, 149914.48391)",[1236]
"(-15187.96048, 149916.71931)",[1236]
"(-15199.93698, 149919.77221)",[1236]
"(-15205.08728, 149921.08511)",[1236]
"(-15207.57438, 149921.37041)",[1236]
"(-15216.33938, 149922.37561)",[1236]
"(-15227.92928, 149923.70491)",[1236]
"(-15239.62188, 149925.04601)",[1236]
"(-15252.44298, 149926.51651)",[1236]
"(-15265.17118, 149927.97641)",[1236]
"(-15278.25298, 149929.47691)",[1236]
"(-15291.41588, 149930.98671)",[1236]
"(-15301.82268, 149932.18041)",[1236]
"(-15308.53268, 149932.95001)",[1236]
"(-15306.49188, 149923.56391)",[1236]
"(-15302.43158, 149904.88911)",[1236]
"(-15298.68428, 149887.65371)",[1236]
"(-15297.07908, 149880.27071)",[1236]
"(-15295.59458, 149873.44341)",[1236]
"(-15293.99068, 149866.06661)",[1236]
"(-15293.98748, 149866.05161)",[1236]
"(-15294.01488, 149866.04081)",[1236]
"(-15295.28148, 149865.54091)",[1236]
"(-15298.70928, 149864.18791)",[1236]
"(-15304.77878, 149861.79231)",[1236]
"(-15309.96768, 149859.74431)",[1236]
"(-15314.15858, 149858.09021)",[1236]
"(-15317.22498, 149856.88001)",[1236]
"(-15323.86048, 149854.26101)",[1236]
"(-15327.48818, 149852.82921)",[1236]
"(-15333.50808, 149847.45341)",[1236]
"(-15337.96468, 149843.47351)",[1236]
"(-15343.64718, 149838.39891)",[1236]
"(-15349.34798, 149833.30801)",[1236]
"(-15355.56138, 149827.75941)",[1236]
"(-15360.80348, 149823.07821)",[1236]
"(-15364.45468, 149819.81761)",[1236]
"(-15365.80768, 149818.72031)",[1236]
