"Source(x,y)","Target(x,y)"
"(-16323.37635, 149369.71863)","(-16308.30998, 149482.77481)"
"(-16462.34046, 149506.2213)","(-16308.30998, 149482.77481)"
"(-19772.75208, 148891.60841)","(-19844.77948, 148925.99981)"
"(-19865.13891, 148952.06849)","(-19844.77948, 148925.99981)"
"(-20155.0828, 148750.67299)","(-19844.77948, 148925.99981)"
"(-19796.29886, 149086.97684)","(-19844.77948, 148925.99981)"
"(-18641.97749, 150654.53089)","(-18630.00538, 150654.28451)"
"(-18549.02809, 150615.1303)","(-18630.00538, 150654.28451)"
"(-18503.4154, 150718.05193)","(-18630.00538, 150654.28451)"
"(-19699.16048, 152239.75871)","(-19703.76898, 152276.97771)"
"(-19685.27328, 152289.15781)","(-19703.76898, 152276.97771)"
"(-19810.81138, 152250.66961)","(-19703.76898, 152276.97771)"
"(-19604.86816, 151882.26748)","(-19703.76898, 152276.97771)"
"(-19716.27775, 152303.39347)","(-19703.76898, 152276.97771)"
"(-19819.83418, 151386.14621)","(-19710.16768, 151387.89281)"
"(-19528.08998, 151415.42781)","(-19710.16768, 151387.89281)"
"(-19370.70038, 151161.18931)","(-19710.16768, 151387.89281)"
"(-19676.71826, 151182.53562)","(-19710.16768, 151387.89281)"
"(-19289.87025, 151300.18598)","(-19710.16768, 151387.89281)"
"(-19661.30926, 151391.02818)","(-19710.16768, 151387.89281)"
"(-17147.51105, 149112.43892)","(-17210.48708, 149120.18841)"
"(-17307.00305, 149142.42286)","(-17210.48708, 149120.18841)"
"(-17695.09248, 149185.92452)","(-17210.48708, 149120.18841)"
"(-19199.38718, 149193.66081)","(-19428.11298, 149037.05491)"
"(-19123.14698, 149192.34101)","(-19428.11298, 149037.05491)"
"(-19027.04257, 149126.83841)","(-19428.11298, 149037.05491)"
"(-19262.87982, 149088.7106)","(-19428.11298, 149037.05491)"
"(-19351.03965, 149144.68211)","(-19428.11298, 149037.05491)"
"(-18082.06378, 148243.65031)","(-18122.11408, 148113.06371)"
"(-17987.7967, 148243.58565)","(-18122.11408, 148113.06371)"
"(-17565.15922, 148147.77305)","(-18122.11408, 148113.06371)"
"(-18203.06697, 148235.76638)","(-18122.11408, 148113.06371)"
"(-17864.62096, 148505.90669)","(-18122.11408, 148113.06371)"
"(-16641.31994, 148826.02313)","(-16636.54468, 148817.15481)"
"(-16512.74376, 148760.74466)","(-16636.54468, 148817.15481)"
"(-16366.64318, 148905.93287)","(-16636.54468, 148817.15481)"
"(-19230.43039, 150897.91981)","(-19424.59208, 150993.18951)"
"(-19724.47581, 151109.50839)","(-19424.59208, 150993.18951)"
"(-19702.67059, 150878.74403)","(-19424.59208, 150993.18951)"
"(-19676.71826, 151182.53562)","(-19424.59208, 150993.18951)"
"(-15918.87544, 149122.0505)","(-15942.25358, 149158.39901)"
"(-16007.6823, 149102.63771)","(-15942.25358, 149158.39901)"
"(-15995.85048, 149206.55341)","(-15942.25358, 149158.39901)"
"(-16366.64318, 148905.93287)","(-15942.25358, 149158.39901)"
"(-16053.31948, 149116.13761)","(-15942.25358, 149158.39901)"
"(-20785.24858, 151033.76111)","(-20819.96328, 151000.32721)"
"(-20780.16371, 150972.41013)","(-20819.96328, 151000.32721)"
"(-21024.13135, 150914.0089)","(-20819.96328, 151000.32721)"
"(-20867.13875, 150831.02145)","(-20819.96328, 151000.32721)"
"(-20611.80988, 150929.69322)","(-20819.96328, 151000.32721)"
"(-20994.62206, 151101.89149)","(-20819.96328, 151000.32721)"
"(-19390.29028, 148885.89851)","(-19456.44598, 148951.98991)"
"(-19772.75208, 148891.60841)","(-19456.44598, 148951.98991)"
"(-19316.37238, 149204.48681)","(-19456.44598, 148951.98991)"
"(-19708.83795, 148764.50614)","(-19456.44598, 148951.98991)"
"(-19796.29886, 149086.97684)","(-19456.44598, 148951.98991)"
"(-19351.03965, 149144.68211)","(-19456.44598, 148951.98991)"
"(-17582.79872, 147850.74011)","(-17712.95978, 147889.87691)"
"(-17701.27618, 147951.16761)","(-17712.95978, 147889.87691)"
"(-17764.08932, 147938.44866)","(-17712.95978, 147889.87691)"
"(-18113.60515, 147825.73512)","(-17712.95978, 147889.87691)"
"(-17305.87442, 147985.27533)","(-17712.95978, 147889.87691)"
"(-17837.68047, 148073.64623)","(-17712.95978, 147889.87691)"
"(-21287.68328, 153143.27701)","(-21224.05408, 153018.81081)"
"(-21561.11748, 152835.45561)","(-21224.05408, 153018.81081)"
"(-21285.33911, 152914.6102)","(-21224.05408, 153018.81081)"
"(-21552.53835, 153016.87413)","(-21224.05408, 153018.81081)"
"(-20193.35238, 149582.65091)","(-20178.05698, 149587.84371)"
"(-20060.03348, 149768.02671)","(-20178.05698, 149587.84371)"
"(-20140.90175, 149698.82923)","(-20178.05698, 149587.84371)"
"(-20102.43787, 149627.93696)","(-20178.05698, 149587.84371)"
"(-17542.67288, 146564.22581)","(-17520.51398, 146554.96541)"
"(-17542.51607, 146359.17629)","(-17520.51398, 146554.96541)"
"(-17630.70568, 146923.14339)","(-17520.51398, 146554.96541)"
"(-18734.29047, 147265.74478)","(-17520.51398, 146554.96541)"
"(-18443.62178, 149240.82801)","(-18544.04848, 149124.18131)"
"(-18637.80958, 149189.57211)","(-18544.04848, 149124.18131)"
"(-18945.70316, 148950.5831)","(-18544.04848, 149124.18131)"
"(-18508.47489, 149031.36554)","(-18544.04848, 149124.18131)"
"(-18065.1481, 148306.52651)","(-18082.06378, 148243.65031)"
"(-18203.06697, 148235.76638)","(-18082.06378, 148243.65031)"
"(-17864.62096, 148505.90669)","(-18082.06378, 148243.65031)"
"(-19547.84198, 151986.04861)","(-19545.17548, 151947.14871)"
"(-19530.76158, 151889.97011)","(-19545.17548, 151947.14871)"
"(-19604.86816, 151882.26748)","(-19545.17548, 151947.14871)"
"(-19501.83001, 152113.83699)","(-19545.17548, 151947.14871)"
"(-18268.672, 147648.21883)","(-18543.95458, 147716.42381)"
"(-19210.73728, 147025.82851)","(-18543.95458, 147716.42381)"
"(-18604.90518, 147891.34761)","(-18543.95458, 147716.42381)"
"(-18743.09003, 147452.51793)","(-18543.95458, 147716.42381)"
"(-18734.29047, 147265.74478)","(-18543.95458, 147716.42381)"
"(-18113.60515, 147825.73512)","(-18543.95458, 147716.42381)"
"(-17801.24868, 148045.81621)","(-17701.27618, 147951.16761)"
"(-17305.87442, 147985.27533)","(-17701.27618, 147951.16761)"
