"Source(x,y)","Target(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-14094.27527, 147414.05318)","(-14297.34464, 147649.73247)",0.0,False,True,0,0,0,0,0,False,
"(-14094.27527, 147414.05318)","(-13823.81668, 147245.87331)",0.0,False,True,0,0,0,0,0,False,
"(-14094.27527, 147414.05318)","(-14261.79398, 147279.95771)",0.0,False,True,0,0,0,0,0,False,
"(-14094.27527, 147414.05318)","(-14151.45153, 147604.69307)",0.0,True,True,0,0,0,0,0,False,
"(-14094.27527, 147414.05318)","(-14027.63359, 147523.27423)",0.0,True,True,0,0,0,0,0,False,
"(-14094.27527, 147414.05318)","(-14007.67332, 147513.84128)",0.0,True,True,0,0,0,0,0,False,
"(-15733.05268, 146415.66451)","(-15724.33929, 146396.77447)",0.020802806937854655,True,False,100,39,151,39,75,16.3782,
"(-15733.05268, 146415.66451)","(-15622.57698, 146353.40921)",0.17624077572704905,True,False,852,331,1277,331,638,False,"[(-15675.90258, 146440.27081), (-15640.57348, 146411.47651), (-15621.13378, 146398.20201), (-15621.14228, 146397.96361), (-15620.98948, 146397.85931)]"
"(-15733.05268, 146415.66451)","(-15780.18396, 146397.01665)",0.0,False,True,0,0,0,0,0,False,
"(-15724.33929, 146396.77447)","(-15733.05268, 146415.66451)",0.020802806937854655,True,False,100,39,151,39,75,16.3782,
"(-15724.33929, 146396.77447)","(-15700.50204, 146312.746)",0.13110343608563624,True,False,634,246,950,246,476,False,"[(-15709.09598, 146363.72801)]"
"(-15724.33929, 146396.77447)","(-15780.18396, 146397.01665)",0.0,True,True,0,0,0,0,0,False,
"(-15622.57698, 146353.40921)","(-15733.05268, 146415.66451)",0.17624077572704905,True,False,852,331,1277,331,638,False,"[(-15675.90258, 146440.27081), (-15640.57348, 146411.47651), (-15621.13378, 146398.20201), (-15621.14228, 146397.96361), (-15620.98948, 146397.85931)]"
