"Node1(x,y)","Node2(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-13232.93838, 143775.54841)","(-13210.23278, 143932.93721)",0.15901817077555871,False,False,768,299,1152,299,576,21.3115,
"(-13808.57768, 147230.26881)","(-13788.95158, 147217.47001)",0.02343060141461286,True,False,113,44,170,44,85,22.353,
"(-13808.57768, 147230.26881)","(-14151.45152, 147604.69307)",0.7403096098445577,True,False,3577,1391,5366,1391,2682,False,"[(-13824.03768, 147240.35081), (-13823.81668, 147245.87331), (-13910.34048, 147257.92801), (-13925.15718, 147284.38651), (-13944.20728, 147322.48651), (-13931.50718, 147431.49511), (-13910.47698, 147474.63001), (-13972.73078, 147497.32791), (-14007.67333, 147513.84128), (-14027.63358, 147523.27423), (-14045.26608, 147531.60711), (-14099.67548, 147568.13051), (-14132.75218, 147599.00951)]"
"(-14957.39878, 145614.53541)","(-14666.18568, 145703.96781)",0.34871283853640894,False,False,1684,655,2527,655,1263,False,"[(-14944.05428, 145669.04931), (-14896.87058, 145704.87891), (-14798.53478, 145713.78641)]"
"(-14957.39878, 145614.53541)","(-15105.92808, 145705.70061)",0.17568695151218927,False,False,849,330,1273,330,636,False,"[(-15025.34908, 145669.27961)]"
"(-14957.39878, 145614.53541)","(-14745.43568, 145364.90511)",0.35171529782329997,False,False,1700,661,2548,661,1273,False,"[(-14907.69788, 145540.44441), (-14791.28098, 145490.17351)]"
"(-14473.23288, 145300.07391)","(-14258.09258, 145259.11991)",0.23254986434619465,True,False,1123,437,1685,437,843,False,"[(-14455.25348, 145282.66331), (-14418.43038, 145267.05751)]"
"(-14473.23288, 145300.07391)","(-14670.05368, 145326.21011)",0.21142421534471662,True,False,1021,397,1533,397,766,False,"[(-14504.92758, 145330.76601)]"
"(-14473.23288, 145300.07391)","(-14625.96818, 145051.04941)",0.3466189979847908,True,False,1673,652,2513,652,1255,False,"[(-14516.60688, 145268.29041), (-14572.69868, 145209.55281), (-14590.69028, 145195.79441)]"
"(-13382.92928, 146531.36851)","(-13843.33068, 146371.05681)",0.5049608275718969,False,False,3796,1355,5692,1355,2845,False,"[(-13507.34708, 146481.48641), (-13444.98948, 146501.03151), (-13569.28598, 146460.45611)]"
"(-13382.92928, 146531.36851)","(-13247.87988, 146499.99031)",0.15940299067327307,True,False,1198,428,1796,428,898,False,"[(-13290.99208, 146549.54781)]"
"(-13382.92928, 146531.36851)","(-13740.26288, 146249.11651)",0.4651462011600171,False,False,3495,1249,5242,1249,2622,False,"[(-13402.03388, 146488.46501), (-13456.62158, 146444.79761), (-13522.77938, 146413.26511)]"
"(-12228.53168, 144739.67071)","(-12892.48868, 144807.15751)",0.819965299947018,False,False,6161,2198,9242,2198,4623,False,"[(-12416.83758, 144733.85091), (-12389.15218, 144729.21011), (-12328.40508, 144726.10621), (-12298.53218, 144724.57991), (-12274.05818, 144721.93411), (-12258.46148, 144668.67251), (-12247.02478, 144701.31581), (-12495.56068, 144747.04741)]"
"(-12228.53168, 144739.67071)","(-12134.18858, 144691.03731)",0.11391162971704644,False,False,856,306,1284,306,642,False,"[(-12183.51838, 144737.92261)]"
