"Source(x,y)","Target(x,y)"
"(-10027.86364, 150363.3928)","(-10212.42188, 150389.66871)"
"(-9744.03568, 148959.42181)","(-9724.23318, 148977.57961)"
"(-9474.63396, 149158.3651)","(-9724.23318, 148977.57961)"
"(-9492.41177, 148989.25343)","(-9724.23318, 148977.57961)"
"(-8616.08548, 151635.50621)","(-8483.41108, 152191.69191)"
"(-8525.44954, 151951.95126)","(-8483.41108, 152191.69191)"
"(-8368.12405, 152387.73976)","(-8483.41108, 152191.69191)"
"(-9886.92727, 148759.42132)","(-9934.28428, 148797.83501)"
"(-9837.32306, 148579.28166)","(-9934.28428, 148797.83501)"
"(-8715.35286, 150252.92494)","(-8660.09166, 150546.68364)"
"(-9120.4257, 150476.53661)","(-8660.09166, 150546.68364)"
"(-9596.25262, 150398.68877)","(-9616.84428, 150346.57021)"
"(-9659.64489, 149999.23651)","(-9616.84428, 150346.57021)"
"(-8245.87627, 151692.79859)","(-8236.95228, 151582.57231)"
"(-8398.94245, 151094.20055)","(-8236.95228, 151582.57231)"
"(-9430.59708, 149471.41691)","(-9401.60948, 149475.98931)"
"(-9195.31222, 149600.1961)","(-9401.60948, 149475.98931)"
"(-9875.59603, 150505.94866)","(-9897.69168, 150484.64831)"
"(-10027.86364, 150363.3928)","(-9897.69168, 150484.64831)"
"(-8870.40298, 152853.96231)","(-8967.89568, 152834.08861)"
"(-8961.63542, 149290.1978)","(-8913.6107, 149316.84025)"
"(-9195.31222, 149600.1961)","(-8913.6107, 149316.84025)"
"(-8687.59806, 149113.73979)","(-8913.6107, 149316.84025)"
"(-8759.96303, 149558.37753)","(-8913.6107, 149316.84025)"
"(-9659.64489, 149999.23651)","(-9555.91718, 150021.23041)"
"(-9195.31222, 149600.1961)","(-9555.91718, 150021.23041)"
"(-9205.61003, 150261.34757)","(-9555.91718, 150021.23041)"
"(-9492.41177, 148989.25343)","(-9355.83098, 148869.48711)"
"(-9465.16664, 148761.07614)","(-9355.83098, 148869.48711)"
"(-9056.37368, 148999.23316)","(-9355.83098, 148869.48711)"
"(-9886.92727, 148759.42132)","(-9829.14738, 148672.75791)"
"(-9465.16664, 148761.07614)","(-9829.14738, 148672.75791)"
"(-8545.28478, 148132.46591)","(-8695.40188, 148292.43521)"
"(-8959.02451, 148361.81525)","(-8695.40188, 148292.43521)"
"(-8729.88683, 148121.06548)","(-8695.40188, 148292.43521)"
"(-8673.18784, 148556.63592)","(-8695.40188, 148292.43521)"
"(-9593.88298, 148433.50071)","(-9161.00848, 148181.51851)"
"(-9296.07777, 148364.1537)","(-9161.00848, 148181.51851)"
"(-9516.84491, 148293.55623)","(-9161.00848, 148181.51851)"
