"Source(x,y)","Target(x,y)",edgelength,slope,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-9195.31222, 149600.1961)","(-9555.91718, 150021.23041)",0.0,False,False,True,0,0,0,0,0,
"(-9195.31222, 149600.1961)","(-9088.08928, 149237.55581)",0.0,False,False,True,0,0,0,0,0,
"(-9195.31222, 149600.1961)","(-9544.14028, 149227.88431)",0.0,False,False,True,0,0,0,0,0,
"(-9195.31222, 149600.1961)","(-9463.20488, 149391.74591)",0.0,False,False,True,0,0,0,0,0,
"(-9195.31222, 149600.1961)","(-9560.85348, 149342.68431)",0.0,False,False,True,0,0,0,0,0,
"(-9195.31222, 149600.1961)","(-9616.60468, 149684.09891)",0.0,False,False,True,0,0,0,0,0,
"(-9195.31222, 149600.1961)","(-9430.59708, 149471.41691)",0.0,False,False,True,0,0,0,0,0,
"(-9195.31222, 149600.1961)","(-9323.19848, 149279.06761)",0.0,False,False,True,0,0,0,0,0,
"(-9195.31222, 149600.1961)","(-9497.16298, 149226.43401)",0.0,False,False,True,0,0,0,0,0,
"(-9195.31222, 149600.1961)","(-9477.72508, 149399.16551)",0.0,False,False,True,0,0,0,0,0,
"(-9195.31222, 149600.1961)","(-9401.60948, 149505.62261)",0.0,False,False,True,0,0,0,0,0,
"(-9195.31222, 149600.1961)","(-9486.2341, 149237.7909)",0.0,False,True,True,0,0,0,0,0,
"(-9297.20097, 149159.6261)","(-9176.27018, 149207.79901)",0.13073062011484,False,True,False,631,246,947,246,473,"[(-9242.26708, 149177.39831), (-9285.61928, 149160.77551)]"
"(-9297.20097, 149159.6261)","(-9724.23318, 148977.57961)",0.516056289911967,False,True,False,2493,970,3739,970,1870,"[(-9556.23948, 149057.05811), (-9626.15308, 149006.89181), (-9695.21658, 149004.18631), (-9514.55288, 149093.73371)]"
"(-9297.20097, 149159.6261)","(-9474.63395, 149158.3651)",0.0,False,True,True,0,0,0,0,0,
"(-9088.08928, 149237.55581)","(-9176.27018, 149207.79901)",0.0958070524801098,False,True,False,719,255,1079,255,540,"[(-9174.76378, 149208.43041), (-9172.01888, 149205.21591), (-9106.61478, 149230.68341), (-9106.11758, 149230.86871), (-9105.84448, 149230.97001), (-9104.63398, 149231.41901), (-9102.46138, 149232.22491), (-9095.93318, 149234.64641)]"
"(-9088.08928, 149237.55581)","(-9555.91718, 150021.23041)",2.7215201232370565,False,True,False,20449,7303,30679,7303,15336,"[(-9449.07618, 150024.56031), (-9493.45688, 150054.21631), (-9497.48688, 150056.93541), (-9432.20868, 149980.37911), (-9409.74098, 149769.07951), (-9401.06908, 149702.76771), (-9400.87398, 149701.27521), (-9344.78398, 149686.19901), (-9255.39038, 149654.34711), (-9178.86208, 149670.96491), (-9132.72388, 149692.28551), (-9065.36998, 149738.38761), (-9045.64838, 149798.92491), (-9082.91368, 149860.58021), (-9087.16518, 149863.16341), (-9065.12378, 149924.98801), (-9046.48098, 150005.02901), (-9012.57048, 150036.58971)]"
"(-9088.08928, 149237.55581)","(-9195.31222, 149600.1961)",0.0,False,False,True,0,0,0,0,0,
"(-9648.04658, 149350.06601)","(-9635.37638, 149400.32761)",0.051833988874095065,23.2447,True,False,250,97,376,97,188,
"(-9648.04658, 149350.06601)","(-9696.70618, 149333.69741)",0.05133894952295417,23.9191,True,False,248,96,372,96,186,
"(-9648.04658, 149350.06601)","(-9560.85348, 149342.68431)",0.08750500661390778,23.9191,True,False,423,164,634,164,317,
"(-9648.04658, 149350.06601)","(-9633.71633, 149510.33412)",0.0,False,False,True,0,0,0,0,0,
"(-9648.04658, 149350.06601)","(-9758.54318, 149210.79965)",0.0,False,False,True,0,0,0,0,0,
"(-9635.37638, 149400.32761)","(-9648.04658, 149350.06601)",0.051833988874095065,23.2447,True,False,250,97,376,97,188,
"(-9635.37638, 149400.32761)","(-9632.41642, 149417.97497)",0.017893872643206524,23.2447,True,False,86,34,130,34,65,
"(-9635.37638, 149400.32761)","(-9633.71633, 149510.33412)",0.0,False,False,True,0,0,0,0,0,
"(-9696.70618, 149333.69741)","(-9648.04658, 149350.06601)",0.05133894952295417,23.9191,True,False,248,96,372,96,186,
"(-9696.70618, 149333.69741)","(-9840.89568, 149535.23461)",0.2602332277408686,False,True,False,1256,490,1885,490,943,"[(-9734.04878, 149369.06391)]"
"(-9696.70618, 149333.69741)","(-9799.49707, 149327.06965)",0.10324164148960004,False,True,False,499,193,748,193,374,"[(-9752.94028, 149326.58331)]"
"(-9696.70618, 149333.69741)","(-9633.71633, 149510.33412)",0.0,False,False,True,0,0,0,0,0,
"(-9696.70618, 149333.69741)","(-9758.54318, 149210.79965)",0.0,False,False,True,0,0,0,0,0,
"(-9696.70618, 149333.69741)","(-10149.97515, 149373.88976)",0.0,False,False,True,0,0,0,0,0,
"(-9560.85348, 149342.68431)","(-9648.04658, 149350.06601)",0.08750500661390778,23.9191,True,False,423,164,634,164,317,
"(-9560.85348, 149342.68431)","(-9544.14028, 149227.88431)",0.11741724095312489,False,False,False,882,315,1323,315,662,"[(-9541.89218, 149273.80611)]"
"(-9560.85348, 149342.68431)","(-9477.72508, 149399.16551)",0.10771376485290216,False,False,False,809,289,1214,289,608,"[(-9528.60978, 149374.38911)]"
"(-9560.85348, 149342.68431)","(-9758.54318, 149210.79965)",0.0,False,False,True,0,0,0,0,0,
"(-9560.85348, 149342.68431)","(-9195.31222, 149600.1961)",0.0,False,False,True,0,0,0,0,0,
"(-9633.71633, 149510.33412)","(-9648.04658, 149350.06601)",0.0,False,False,True,0,0,0,0,0,
"(-9633.71633, 149510.33412)","(-9696.70618, 149333.69741)",0.0,False,False,True,0,0,0,0,0,
"(-9633.71633, 149510.33412)","(-9444.16318, 149547.89841)",0.0,False,False,True,0,0,0,0,0,
"(-9633.71633, 149510.33412)","(-9635.37638, 149400.32761)",0.0,False,False,True,0,0,0,0,0,
"(-9633.71633, 149510.33412)","(-9840.89568, 149535.23461)",0.0,False,False,True,0,0,0,0,0,
"(-9633.71633, 149510.33412)","(-9463.20488, 149391.74591)",0.0,False,False,True,0,0,0,0,0,
"(-9633.71633, 149510.33412)","(-9666.16068, 149620.78621)",0.0,False,False,True,0,0,0,0,0,
"(-9633.71633, 149510.33412)","(-9616.60468, 149684.09891)",0.0,False,False,True,0,0,0,0,0,
"(-9633.71633, 149510.33412)","(-9430.59708, 149471.41691)",0.0,False,False,True,0,0,0,0,0,
"(-9633.71633, 149510.33412)","(-9477.72508, 149399.16551)",0.0,False,False,True,0,0,0,0,0,
"(-9633.71633, 149510.33412)","(-9632.41642, 149417.97497)",0.0,False,True,True,0,0,0,0,0,
"(-9758.54318, 149210.79965)","(-9648.04658, 149350.06601)",0.0,False,False,True,0,0,0,0,0,
"(-9758.54318, 149210.79965)","(-9696.70618, 149333.69741)",0.0,False,False,True,0,0,0,0,0,
"(-9758.54318, 149210.79965)","(-10012.02228, 149237.86841)",0.0,False,False,True,0,0,0,0,0,
"(-9758.54318, 149210.79965)","(-9544.14028, 149227.88431)",0.0,False,False,True,0,0,0,0,0,
"(-9758.54318, 149210.79965)","(-9956.90198, 149155.55691)",0.0,False,False,True,0,0,0,0,0,
"(-9758.54318, 149210.79965)","(-9560.85348, 149342.68431)",0.0,False,False,True,0,0,0,0,0,
"(-9758.54318, 149210.79965)","(-10037.13358, 149254.05121)",0.0,False,False,True,0,0,0,0,0,
"(-9758.54318, 149210.79965)","(-9768.74118, 149033.78711)",0.0,False,False,True,0,0,0,0,0,
"(-9758.54318, 149210.79965)","(-9938.65227, 149154.81321)",0.0,False,True,True,0,0,0,0,0,
"(-9758.54318, 149210.79965)","(-9550.60081, 149219.79584)",0.0,False,True,True,0,0,0,0,0,
"(-9758.54318, 149210.79965)","(-9799.49707, 149327.06965)",0.0,False,True,True,0,0,0,0,0,
"(-10289.87348, 150228.08091)","(-10262.31898, 150158.54881)",0.07479280313410862,17.4729,False,False,361,141,542,141,271,
"(-10289.87348, 150228.08091)","(-10299.96506, 150230.19274)",0.010310180058822576,15.9324,True,False,50,19,75,19,37,
"(-10289.87348, 150228.08091)","(-9897.69168, 150484.64831)",0.6179231907258641,False,False,False,2984,1161,4478,1161,2239,"[(-10284.58178, 150235.48921), (-10247.54008, 150264.06421), (-10222.13998, 150321.21441), (-10212.42188, 150389.66871), (-10201.72398, 150386.80281), (-10198.28948, 150423.98831), (-10189.59318, 150490.31971), (-10120.92688, 150523.84591), (-10068.12958, 150545.78041), (-9988.57688, 150511.00511)]"
"(-10289.87348, 150228.08091)","(-10624.90433, 150233.62028)",0.0,False,False,True,0,0,0,0,0,
"(-10289.87348, 150228.08091)","(-10027.86364, 150363.3928)",0.0,False,False,True,0,0,0,0,0,
"(-10262.31898, 150158.54881)","(-10289.87348, 150228.08091)",0.07479280313410862,17.4729,False,False,361,141,542,141,271,
"(-10262.31898, 150158.54881)","(-9930.49008, 150259.04581)",0.3656145607919845,False,False,False,1766,686,2650,686,1324,"[(-9993.04548, 150269.79891), (-10055.39618, 150267.34101), (-10128.59858, 150200.15801), (-10194.26958, 150174.61531)]"
"(-10262.31898, 150158.54881)","(-10308.00978, 150027.72871)",0.13940879749229063,False,True,False,674,262,1010,262,505,"[(-10276.51748, 150094.78271)]"
"(-10262.31898, 150158.54881)","(-10123.71377, 150155.0526)",0.0,False,False,True,0,0,0,0,0,
"(-10262.31898, 150158.54881)","(-10624.90433, 150233.62028)",0.0,False,False,True,0,0,0,0,0,
"(-10262.31898, 150158.54881)","(-10027.86364, 150363.3928)",0.0,False,False,True,0,0,0,0,0,
