40.8 * M_node4node7_timber_t4 (type=B, prefix=M, width=timber, edge=None, period=4)
28.92 * M_node4node7_timber_t5 (type=B, prefix=M, width=timber, edge=None, period=5)
136.0 * M_node4node7_wide_t0 (type=B, prefix=M, width=wide, edge=None, period=0)
114.51 * M_node4node7_wide_t1 (type=B, prefix=M, width=wide, edge=None, period=1)
81.18 * M_node4node7_wide_t2 (type=B, prefix=M, width=wide, edge=None, period=2)
57.55 * M_node4node7_wide_t3 (type=B, prefix=M, width=wide, edge=None, period=3)
40.8 * M_node4node7_wide_t4 (type=B, prefix=M, width=wide, edge=None, period=4)
28.92 * M_node4node7_wide_t5 (type=B, prefix=M, width=wide, edge=None, period=5)
0.0 * M_node4node8_timber_t0 (type=B, prefix=M, width=timber, edge=None, period=0)
0.0 * M_node4node8_timber_t1 (type=B, prefix=M, width=timber, edge=None, period=1)
0.0 * M_node4node8_timber_t2 (type=B, prefix=M, width=timber, edge=None, period=2)
0.0 * M_node4node8_timber_t3 (type=B, prefix=M, width=timber, edge=None, period=3)
0.0 * M_node4node8_timber_t4 (type=B, prefix=M, width=timber, edge=None, period=4)
0.0 * M_node4node8_timber_t5 (type=B, prefix=M, width=timber, edge=None, period=5)
0.0 * M_node4node8_wide_t0 (type=B, prefix=M, width=wide, edge=None, period=0)
0.0 * M_node4node8_wide_t1 (type=B, prefix=M, width=wide, edge=None, period=1)
0.0 * M_node4node8_wide_t2 (type=B, prefix=M, width=wide, edge=None, period=2)
0.0 * M_node4node8_wide_t3 (type=B, prefix=M, width=wide, edge=None, period=3)
0.0 * M_node4node8_wide_t4 (type=B, prefix=M, width=wide, edge=None, period=4)
0.0 * M_node4node8_wide_t5 (type=B, prefix=M, width=wide, edge=None, period=5)
0.0 * M_node5node8_timber_t0 (type=B, prefix=M, width=timber, edge=None, period=0)
0.0 * M_node5node8_timber_t1 (type=B, prefix=M, width=timber, edge=None, period=1)
0.0 * M_node5node8_timber_t2 (type=B, prefix=M, width=timber, edge=None, period=2)
0.0 * M_node5node8_timber_t3 (type=B, prefix=M, width=timber, edge=None, period=3)
